,action_taken,denial_reason_1,denial_reason_2,denial_reason_3
375407,2,,,
375409,1,,,
375411,1,,,
375415,1,,,
375418,1,,,
375419,2,,,
375420,1,,,
375421,3,1.0,,
375425,1,,,
375427,3,,,
375429,3,,,
375434,3,1.0,,
375439,3,1.0,3.0,
375440,3,,,
375442,3,1.0,4.0,
375444,3,7.0,,
375445,3,,,
375450,3,9.0,,
375453,2,,,
375455,2,,,
375456,1,,,
375457,2,,,
375458,3,4.0,,
375459,5,,,
375460,1,,,
375467,3,4.0,,
375469,3,9.0,,
375474,3,4.0,,
375476,1,,,
375477,3,1.0,,
375479,1,,,
375480,3,1.0,3.0,
375481,3,3.0,,
375482,1,,,
375487,1,,,
375488,3,3.0,,
375491,3,4.0,,
375492,3,4.0,,
375493,1,,,
375494,1,,,
375495,1,,,
375496,1,,,
375497,2,,,
375498,1,,,
375499,3,4.0,9.0,
375501,3,1.0,,
375502,3,4.0,,
375503,3,3.0,,
375504,3,4.0,1.0,
375505,3,1.0,,
375506,3,1.0,4.0,
375507,3,4.0,,
375509,3,,,
375511,1,,,
375512,3,4.0,9.0,
375513,1,,,
375514,3,7.0,,
375515,1,,,
375517,2,,,
375518,3,3.0,,
375519,3,4.0,,
375520,3,1.0,,
375521,1,,,
375522,1,,,
375523,1,,,
375525,1,,,
375526,3,,,
375527,3,1.0,,
375530,1,,,
375531,1,,,
375533,1,,,
375534,3,1.0,,
375535,1,,,
375536,3,9.0,,
375537,3,3.0,,
375539,1,,,
375541,2,,,
375542,1,,,
375543,3,1.0,,
375545,2,,,
375547,1,,,
375549,3,,,
375551,3,3.0,,
375552,1,,,
375553,1,,,
375554,1,,,
375555,1,,,
375558,3,1.0,3.0,
375560,1,,,
375562,1,,,
375565,1,,,
375566,5,,,
375567,1,,,
375568,1,,,
375569,1,,,
375572,1,,,
375573,1,,,
375574,3,,,
375575,1,,,
375577,3,3.0,1.0,
375578,3,,,
375579,1,,,
375580,3,,,
375581,3,,,
375582,1,,,
375584,1,,,
375585,3,,,
375587,1,,,
375588,3,9.0,,
375589,1,,,
375590,1,,,
375591,3,1.0,,
375592,3,7.0,,
375593,3,1.0,,
375594,1,,,
375595,3,1.0,2.0,
375597,1,,,
375599,3,4.0,,
375600,5,,,
375607,1,,,
375611,2,,,
375613,3,1.0,5.0,
375616,1,,,
375617,1,,,
375618,1,,,
375621,3,3.0,,
375622,3,1.0,6.0,9.0
375623,3,3.0,,
375624,3,9.0,,
375627,1,,,
375630,3,1.0,,
375632,3,3.0,,
375633,1,,,
375634,1,,,
375635,5,,,
375637,1,,,
375638,3,1.0,2.0,
375642,2,,,
375643,3,,,
375644,3,3.0,,
375649,1,,,
375651,1,,,
375652,3,4.0,,
375655,2,,,
375656,3,,,
375658,1,,,
375659,3,9.0,,
375660,1,,,
375661,3,1.0,,
375663,3,1.0,,
375664,1,,,
375665,1,,,
375666,1,,,
375669,3,7.0,,
375670,3,4.0,,
375671,1,,,
375672,1,,,
375673,3,1.0,3.0,
375676,3,2.0,,
375678,1,,,
375680,3,4.0,1.0,
375681,1,,,
375682,1,,,
375683,1,,,
375684,3,4.0,,
375686,3,3.0,5.0,8.0
375687,1,,,
375689,3,4.0,,
375690,3,4.0,,
375691,1,,,
375692,5,,,
375693,3,,,
375698,3,1.0,,
375699,2,,,
375700,1,,,
375702,5,,,
375703,3,,,
375704,3,4.0,,
375706,1,,,
375708,3,3.0,5.0,
375711,1,,,
375714,5,,,
375717,1,,,
375718,1,,,
375719,1,,,
375720,3,9.0,,
375721,3,,,
375722,1,,,
375724,1,,,
375725,1,,,
375726,1,,,
375729,2,,,
375732,1,,,
375733,1,,,
375734,1,,,
375736,1,,,
375738,3,4.0,,
375739,3,,,
375741,1,,,
375742,3,3.0,,
375743,3,,,
375744,1,,,
375745,1,,,
375747,3,,,
375750,1,,,
375751,3,4.0,,
375756,1,,,
375758,3,1.0,5.0,
375759,3,4.0,,
375762,3,1.0,4.0,
375763,1,,,
375764,1,,,
375765,3,3.0,,
375766,5,,,
375768,1,,,
375769,1,,,
375771,1,,,
375774,1,,,
375775,3,3.0,,
375777,3,1.0,,
375778,3,3.0,,
375779,1,,,
375781,5,,,
375784,2,,,
375785,3,1.0,5.0,
375786,3,4.0,9.0,
375789,3,3.0,,
375790,1,,,
375791,2,,,
375793,1,,,
375796,1,,,
375798,1,,,
375799,1,,,
375801,1,,,
375803,2,,,
375805,3,,,
375807,3,,,
375808,1,,,
375809,1,,,
375812,3,9.0,,
375813,1,,,
375816,3,3.0,1.0,
375819,3,1.0,,
375820,2,,,
375822,3,9.0,,
375824,3,3.0,,
375825,1,,,
375827,1,,,
375828,1,,,
375830,1,,,
375831,3,3.0,,
375832,1,,,
375833,2,,,
375835,1,,,
375836,3,,,
375838,1,,,
375839,3,7.0,,
375841,1,,,
375842,3,,,
375846,3,3.0,1.0,
375847,1,,,
375849,3,4.0,,
375851,3,,,
375852,2,,,
375856,3,9.0,,
375857,3,,,
375858,3,3.0,,
375859,1,,,
375862,1,,,
375864,1,,,
375865,1,,,
375868,3,1.0,,
375870,1,,,
375873,3,1.0,,
375875,1,,,
375878,3,,,
375879,1,,,
375880,3,3.0,,
375881,3,1.0,,
375883,1,,,
375887,1,,,
375888,5,,,
375889,1,,,
375890,3,3.0,,
375891,5,,,
375893,5,,,
375894,3,,,
375895,1,,,
375896,1,,,
375897,1,,,
375898,1,,,
375900,3,1.0,,
375901,1,,,
375903,3,3.0,,
375905,1,,,
375907,3,7.0,,
375912,3,9.0,,
375913,1,,,
375915,1,,,
375918,2,,,
375920,3,1.0,,
375922,1,,,
375924,1,,,
375926,3,1.0,,
375927,1,,,
375931,2,,,
375935,1,,,
375937,5,,,
375938,1,,,
375939,3,,,
375941,1,,,
375944,1,,,
375946,5,,,
375949,2,,,
375951,3,1.0,5.0,
375953,3,3.0,,
375954,3,4.0,,
375956,3,1.0,,
375957,3,,,
375960,3,,,
375963,3,6.0,,
375965,1,,,
375972,5,,,
375973,1,,,
375974,3,,,
375975,3,,,
375976,1,,,
375977,3,1.0,,
375979,1,,,
375980,1,,,
375981,1,,,
375985,3,1.0,,
375986,3,3.0,,
375987,3,1.0,,
375988,1,,,
375989,3,4.0,3.0,
375990,3,7.0,,
375992,3,3.0,5.0,
375993,1,,,
375994,1,,,
375995,1,,,
375996,3,1.0,3.0,
375997,2,,,
375998,1,,,
375999,1,,,
376000,1,,,
376001,3,3.0,,
376002,1,,,
376005,1,,,
376006,1,,,
376007,1,,,
376008,3,,,
376009,1,,,
376010,3,3.0,,
376012,1,,,
376013,1,,,
376014,3,4.0,,
376016,1,,,
376017,1,,,
376019,3,,,
376020,1,,,
376021,1,,,
376022,3,3.0,4.0,
376025,2,,,
376027,3,3.0,,
376028,1,,,
376029,3,3.0,9.0,
376031,3,3.0,,
376032,3,3.0,,
376033,3,,,
376035,3,3.0,,
376036,3,9.0,,
376039,3,3.0,,
376041,3,7.0,,
376042,3,7.0,,
376044,3,1.0,,
376045,1,,,
376046,3,6.0,,
376047,2,,,
376048,1,,,
376051,3,5.0,,
376052,2,,,
376053,3,3.0,,
376054,1,,,
376056,3,,,
376061,3,3.0,,
376062,1,,,
376064,3,7.0,,
376065,2,,,
376066,3,1.0,9.0,
376068,1,,,
376069,1,,,
376070,1,,,
376073,1,,,
376074,1,,,
376075,1,,,
376077,3,3.0,,
376078,3,4.0,,
376079,3,3.0,,
376081,3,,,
376082,3,3.0,,
376083,1,,,
376084,1,,,
376086,1,,,
376087,1,,,
376088,1,,,
376090,2,,,
376091,1,,,
376092,3,,,
376093,3,3.0,4.0,
376096,3,1.0,,
376098,1,,,
376099,1,,,
376100,1,,,
376101,1,,,
376102,3,7.0,4.0,
376104,3,,,
376106,2,,,
376107,1,,,
376108,1,,,
376109,1,,,
376110,3,3.0,,
376113,3,,,
376114,1,,,
376118,1,,,
376121,3,4.0,,
376128,1,,,
376129,3,4.0,,
376130,2,,,
376133,1,,,
376134,3,7.0,,
376135,1,,,
376136,1,,,
376138,1,,,
376139,1,,,
376140,1,,,
376141,1,,,
376142,3,4.0,,
376143,1,,,
376147,1,,,
376148,3,1.0,3.0,
376150,3,3.0,,
376152,3,3.0,,
376153,3,3.0,,
376158,3,3.0,,
376160,3,3.0,,
376162,1,,,
376164,1,,,
376165,3,4.0,,
376166,1,,,
376167,1,,,
376168,3,4.0,,
376169,1,,,
376170,1,,,
376172,3,1.0,,
376174,3,1.0,,
376175,3,3.0,1.0,
376176,3,1.0,5.0,
376178,1,,,
376179,3,9.0,,
376180,1,,,
376181,2,,,
376184,3,,,
376185,2,,,
376186,3,,,
376187,2,,,
376189,1,,,
376190,1,,,
376192,1,,,
376197,1,,,
376200,3,,,
376201,3,1.0,4.0,3.0
376202,2,,,
376203,1,,,
376205,3,,,
376207,1,,,
376208,1,,,
376209,1,,,
376210,1,,,
376211,3,1.0,,
376213,2,,,
376214,1,,,
376215,1,,,
376217,3,1.0,,
376219,1,,,
376222,1,,,
376223,1,,,
376226,1,,,
376231,1,,,
376234,1,,,
376237,1,,,
376238,3,,,
376239,1,,,
376240,1,,,
376241,3,4.0,,
376242,1,,,
376243,3,,,
376246,5,,,
376248,3,7.0,,
376251,3,,,
376252,3,3.0,6.0,1.0
376255,3,1.0,,
376257,3,1.0,,
376261,3,,,
376263,3,,,
376264,1,,,
376265,3,3.0,,
376267,2,,,
376268,3,,,
376269,3,4.0,,
376270,3,3.0,,
376272,1,,,
376273,1,,,
376274,3,5.0,,
376275,1,,,
376276,1,,,
376277,1,,,
376278,3,2.0,,
376281,1,,,
376284,3,,,
376285,1,,,
376286,3,1.0,,
376289,1,,,
376290,3,4.0,,
376293,1,,,
376294,3,7.0,,
376296,3,4.0,,
376298,3,1.0,,
376300,1,,,
376303,1,,,
376308,3,3.0,,
376309,1,,,
376310,1,,,
376312,1,,,
376313,3,,,
376315,2,,,
376318,1,,,
376319,1,,,
376320,1,,,
376321,3,,,
376322,2,,,
376323,3,1.0,,
376327,3,3.0,,
376328,3,7.0,,
376329,3,,,
376330,3,5.0,,
376331,3,6.0,,
376332,1,,,
376335,1,,,
376336,1,,,
376337,1,,,
376339,2,,,
376340,3,,,
376342,3,,,
376344,3,1.0,3.0,
376345,1,,,
376347,3,,,
376351,1,,,
376352,1,,,
376353,2,,,
376354,3,1.0,,
376355,3,4.0,,
376359,3,4.0,,
376360,3,4.0,,
376361,1,,,
376362,1,,,
376364,2,,,
376365,3,3.0,,
376366,3,,,
376371,1,,,
376373,3,7.0,,
376374,3,6.0,,
376375,3,,,
376376,1,,,
376377,1,,,
376378,1,,,
376379,1,,,
376380,5,,,
376381,3,3.0,,
376383,3,4.0,,
376384,3,1.0,,
376385,1,,,
376386,1,,,
376388,1,,,
376390,1,,,
376391,3,,,
376392,3,3.0,1.0,
376394,3,3.0,,
376395,3,1.0,5.0,3.0
376396,2,,,
376397,2,,,
376398,1,,,
376399,3,3.0,,
376400,3,4.0,,
376401,3,7.0,,
376402,1,,,
376403,1,,,
376404,1,,,
376405,1,,,
376406,3,3.0,4.0,
376407,3,,,
376408,3,,,
376409,3,3.0,,
376410,3,1.0,,
376414,1,,,
376415,3,1.0,3.0,
376421,3,1.0,3.0,
376422,1,,,
376425,3,1.0,3.0,
376426,1,,,
376427,3,5.0,,
376430,3,,,
376431,3,2.0,1.0,
376432,3,1.0,,
376435,1,,,
376437,1,,,
376438,1,,,
376439,1,,,
376440,2,,,
376441,3,7.0,,
376443,3,1.0,,
376447,2,,,
376450,3,7.0,,
376451,3,1.0,,
376452,5,,,
376454,3,7.0,,
376456,3,3.0,,
376457,3,1.0,3.0,
376460,1,,,
376463,3,,,
376466,1,,,
376467,1,,,
376470,1,,,
376471,1,,,
376473,3,3.0,,
376474,2,,,
376475,3,9.0,,
376476,1,,,
376477,3,4.0,,
376479,1,,,
376480,1,,,
376482,3,7.0,,
376484,1,,,
376488,1,,,
376489,1,,,
376491,1,,,
376492,3,1.0,,
376493,1,,,
376496,3,1.0,9.0,
376497,1,,,
376498,5,,,
376499,1,,,
376500,1,,,
376501,3,4.0,3.0,
376502,1,,,
376504,1,,,
376505,1,,,
376506,1,,,
376507,1,,,
376508,2,,,
376509,3,,,
376510,1,,,
376511,2,,,
376512,1,,,
376513,1,,,
376518,3,4.0,,
376519,1,,,
376521,1,,,
376522,1,,,
376524,3,,,
376531,1,,,
376532,3,,,
376533,3,5.0,6.0,
376536,3,4.0,,
376538,3,,,
376539,5,,,
376542,1,,,
376544,3,,,
376546,2,,,
376547,1,,,
376548,3,,,
376550,1,,,
376552,3,1.0,,
376553,1,,,
376558,2,,,
376561,1,,,
376562,1,,,
376563,1,,,
376564,1,,,
376567,1,,,
376568,5,,,
376569,2,,,
376572,3,3.0,,
376573,3,2.0,3.0,
376574,3,3.0,,
376576,1,,,
376578,1,,,
376579,3,,,
376581,1,,,
376582,1,,,
376585,1,,,
376587,1,,,
376588,1,,,
376589,3,1.0,,
376590,1,,,
376592,1,,,
376594,5,,,
376595,3,,,
376596,3,,,
376597,1,,,
376598,1,,,
376602,5,,,
376603,3,3.0,,
376604,3,,,
376609,1,,,
376611,3,7.0,,
376612,1,,,
376613,5,,,
376614,3,1.0,5.0,
376615,3,4.0,1.0,
376616,2,,,
376618,3,7.0,,
376619,1,,,
376623,1,,,
376625,1,,,
376626,3,9.0,,
376627,2,,,
376630,3,7.0,,
376631,3,1.0,,
376633,3,9.0,,
376635,3,1.0,3.0,
376640,1,,,
376641,3,4.0,1.0,
376642,1,,,
376643,1,,,
376644,3,9.0,8.0,5.0
376646,1,,,
376647,1,,,
376648,1,,,
376654,3,9.0,,
376657,1,,,
376658,3,,,
376660,3,3.0,,
376661,1,,,
376663,1,,,
376668,2,,,
376669,1,,,
376671,1,,,
376676,5,,,
376678,1,,,
376681,3,3.0,,6.0
376685,1,,,
376687,1,,,
376688,3,1.0,3.0,
376689,3,4.0,9.0,
376693,3,3.0,4.0,
376695,1,,,
376700,1,,,
376701,3,4.0,5.0,
376702,2,,,
376703,1,,,
376705,1,,,
376706,1,,,
376708,1,,,
376709,3,3.0,1.0,
376712,3,,,
376714,3,3.0,,
376717,3,,,
376720,1,,,
376724,3,1.0,,
376725,2,,,
376726,3,7.0,,
376727,1,,,
376728,2,,,
376730,1,,,
376731,1,,,
376733,3,,,
376736,1,,,
376738,1,,,
376739,1,,,
376743,3,7.0,,
376746,1,,,
376748,2,,,
376749,3,1.0,3.0,
376750,3,7.0,,
376751,3,,,
376754,1,,,
376757,1,,,
376759,1,,,
376760,3,2.0,3.0,
376761,3,3.0,,
376762,1,,,
376764,3,3.0,,
376765,3,3.0,1.0,
376766,3,3.0,,
376767,1,,,
376769,1,,,
376772,3,1.0,,
376773,2,,,
376775,1,,,
376776,3,4.0,,
376778,1,,,
376781,1,,,
376784,1,,,
376788,1,,,
376789,1,,,
376790,1,,,
376793,3,9.0,,
376797,3,,,
376799,3,,,
376800,3,1.0,3.0,
376801,1,,,
376806,3,,,
376807,3,,,
376808,1,,,
376810,2,,,
376814,1,,,
376818,3,,,
376822,3,1.0,,
376824,1,,,
376825,1,,,
376827,1,,,
376829,1,,,
376830,1,,,
376831,1,,,
376832,5,,,
376835,1,,,
376837,3,,,
376839,1,,,
376843,3,3.0,,
376846,1,,,
376851,1,,,
376853,1,,,
376854,3,4.0,,
376856,1,,,
376857,1,,,
376859,2,,,
376860,3,4.0,,
376861,1,,,
376863,1,,,
376864,3,7.0,,
376865,3,1.0,3.0,4.0
376866,3,4.0,,
376867,3,,,
376868,3,4.0,,
376870,1,,,
376871,1,,,
376872,3,,,
376873,3,1.0,3.0,
376874,3,1.0,,
376882,3,,,
376884,1,,,
376885,1,,,
376887,3,,,
376891,3,,,
376895,1,,,
376900,3,,,
376902,1,,,
376903,1,,,
376904,1,,,
376905,1,,,
376906,3,,,
376907,3,1.0,3.0,
376910,3,,,
376911,1,,,
376913,1,,,
376914,3,4.0,,
376915,1,,,
376916,3,1.0,3.0,
376917,1,,,
376918,2,,,
376921,1,,,
376922,1,,,
376923,1,,,
376925,1,,,
376926,5,,,
376927,1,,,
376929,1,,,
376930,1,,,
376931,3,,,
376932,3,4.0,,
376934,3,,,
376937,3,1.0,,
376938,3,7.0,4.0,5.0
376940,1,,,
376946,3,,,
376948,1,,,
376950,1,,,
376951,1,,,
376954,1,,,
376956,1,,,
376957,2,,,
376959,3,3.0,4.0,
376960,1,,,
376961,1,,,
376963,5,,,
376964,1,,,
376965,3,3.0,,
376966,2,,,
376968,2,,,
376971,1,,,
376972,1,,,
376973,1,,,
376974,3,4.0,,
376975,3,4.0,,
376976,5,,,
376980,3,1.0,5.0,9.0
376983,1,,,
376984,1,,,
376986,3,1.0,,
376987,1,,,
376989,3,9.0,,
376991,1,,,
376993,3,1.0,,
376995,3,,,
376997,2,,,
376999,5,,,
377000,1,,,
377003,3,,,
377004,3,,,
377005,3,1.0,,
377006,1,,,
377008,3,9.0,,
377013,3,1.0,9.0,
377014,1,,,
377015,3,,,
377017,3,4.0,,
377018,2,,,
377019,1,,,
377020,1,,,
377021,3,,,
377023,1,,,
377024,3,,,
377026,3,1.0,2.0,
377033,3,4.0,,
377035,1,,,
377036,3,3.0,1.0,
377037,3,,,
377038,1,,,
377039,2,,,
377040,3,,,
377045,2,,,
377050,3,1.0,3.0,
377054,1,,,
377056,1,,,
377059,5,,,
377061,3,,,
377062,1,,,
377066,1,,,
377070,3,4.0,,
377071,3,1.0,3.0,9.0
377072,3,1.0,3.0,
377074,3,,,
377076,3,4.0,,
377077,3,1.0,,
377078,3,4.0,,
377082,3,1.0,,
377083,3,,,
377084,2,,,
377086,1,,,
377087,3,3.0,,
377088,3,4.0,,
377089,3,1.0,,
377090,2,,,
377091,3,1.0,,
377092,2,,,
377094,2,,,
377096,1,,,
377100,3,1.0,3.0,
377101,1,,,
377102,1,,,
377105,3,1.0,,
377107,1,,,
377109,1,,,
377110,5,,,
377112,1,,,
377113,3,,,
377114,3,,,
377117,5,,,
377120,1,,,
377123,1,,,
377125,3,,,
377126,3,,,
377127,2,,,
377128,1,,,
377129,1,,,
377130,3,3.0,,
377132,1,,,
377133,1,,,
377135,1,,,
377143,1,,,
377145,1,,,
377146,3,7.0,,
377148,1,,,
377150,1,,,
377151,1,,,
377155,2,,,
377156,1,,,
377158,1,,,
377160,5,,,
377161,1,,,
377164,5,,,
377167,3,7.0,,
377168,3,3.0,,
377170,3,7.0,,
377176,3,1.0,,
377177,1,,,
377178,3,1.0,,
377181,3,1.0,5.0,
377184,3,7.0,,
377186,3,1.0,3.0,
377188,1,,,
377189,1,,,
377192,1,,,
377193,1,,,
377197,1,,,
377200,1,,,
377201,1,,,
377202,1,,,
377203,1,,,
377204,1,,,
377206,2,,,
377208,1,,,
377209,1,,,
377210,2,,,
377212,1,,,
377214,2,,,
377217,1,,,
377222,3,7.0,,
377224,1,,,
377226,1,,,
377227,1,,,
377232,1,,,
377233,2,,,
377237,5,,,
377240,1,,,
377241,1,,,
377243,1,,,
377244,1,,,
377245,3,3.0,,
377246,3,3.0,,
377247,1,,,
377248,1,,,
377249,3,1.0,,
377250,1,,,
377251,3,1.0,,
377255,1,,,
377256,1,,,
377257,3,1.0,9.0,
377259,1,,,
377260,3,1.0,,
377261,1,,,
377262,3,1.0,3.0,
377265,3,1.0,3.0,
377267,1,,,
377268,1,,,
377269,1,,,
377271,2,,,
377276,1,,,
377277,1,,,
377278,1,,,
377284,3,7.0,,
377286,3,4.0,3.0,
377289,5,,,
377290,1,,,
377291,1,,,
377293,1,,,
377295,1,,,
377296,1,,,
377297,2,,,
377298,1,,,
377299,1,,,
377301,3,9.0,4.0,
377302,1,,,
377303,2,,,
377304,3,9.0,6.0,7.0
377306,3,1.0,3.0,
377307,3,3.0,,
377308,3,3.0,,
377313,3,,,
377316,1,,,
377320,3,1.0,9.0,
377321,3,9.0,,
377322,5,,,
377325,1,,,
377327,1,,,
377328,1,,,
377329,1,,,
377331,3,1.0,9.0,
377333,1,,,
377337,3,9.0,,
377338,1,,,
377342,1,,,
377343,1,,,
377344,1,,,
377345,3,4.0,,
377346,1,,,
377347,3,,,
377348,3,1.0,,
377353,1,,,
377354,3,7.0,,
377355,3,3.0,,
377357,1,,,
377358,3,7.0,,
377361,1,,,
377363,5,,,
377365,1,,,
377366,1,,,
377369,1,,,
377371,1,,,
377374,5,,,
377375,1,,,
377377,1,,,
377379,3,1.0,,
377380,1,,,
377381,1,,,
377382,3,,,
377383,1,,,
377384,3,7.0,,
377385,1,,,
377387,1,,,
377389,3,4.0,,
377390,1,,,
377396,3,,,
377399,3,3.0,,
377405,1,,,
377406,3,9.0,,
377408,3,3.0,,
377411,1,,,
377412,1,,,
377415,1,,,
377416,1,,,
377421,1,,,
377423,2,,,
377428,2,,,
377434,1,,,
377436,3,1.0,3.0,
377437,1,,,
377438,3,1.0,6.0,
377439,1,,,
377440,1,,,
377443,1,,,
377444,1,,,
377448,3,,,
377449,1,,,
377451,1,,,
377452,3,3.0,,
377453,1,,,
377454,3,3.0,4.0,
377455,1,,,
377456,3,,,
377457,3,3.0,,
377458,3,3.0,,
377463,3,9.0,,
377464,1,,,
377467,3,3.0,4.0,5.0
377468,3,7.0,,
377469,3,1.0,,
377471,3,3.0,,
377473,5,,,
377474,1,,,
377475,3,1.0,3.0,5.0
377478,3,3.0,,
377479,1,,,
377480,3,4.0,,
377482,3,9.0,,
377484,2,,,
377486,1,,,
377489,3,6.0,9.0,
377490,1,,,
377491,3,1.0,3.0,
377493,3,1.0,3.0,
377494,3,4.0,,
377495,3,3.0,5.0,
377496,1,,,
377497,3,1.0,3.0,
377498,1,,,
377499,3,3.0,1.0,
377500,1,,,
377503,3,,,
377504,3,1.0,,
377507,3,4.0,,
377508,3,1.0,2.0,6.0
377512,3,7.0,,
377514,1,,,
377515,1,,,
377516,1,,,
377517,2,,,
377518,1,,,
377520,3,1.0,,
377521,1,,,
377522,3,1.0,3.0,
377524,3,5.0,,
377525,2,,,
377527,1,,,
377528,1,,,
377529,3,,,
377530,3,3.0,,
377531,1,,,
377534,3,1.0,5.0,
377535,3,8.0,,
377539,3,3.0,,
377540,1,,,
377542,3,7.0,,
377543,3,2.0,,
377545,3,3.0,,
377548,1,,,
377549,1,,,
377550,3,9.0,,
377552,1,,,
377553,1,,,
377554,1,,,
377555,2,,,
377557,3,7.0,,
377560,2,,,
377561,1,,,
377562,1,,,
377564,1,,,
377565,3,4.0,,
377567,1,,,
377569,3,1.0,3.0,
377570,1,,,
377571,1,,,
377572,3,5.0,,
377573,3,,,
377575,3,3.0,,
377577,3,1.0,3.0,
377579,1,,,
377580,1,,,
377582,3,,,
377585,1,,,
377592,3,4.0,,
377593,1,,,
377597,1,,,
377598,1,,,
377599,1,,,
377600,3,3.0,,
377601,1,,,
377604,1,,,
377606,3,3.0,1.0,
377610,5,,,
377612,3,4.0,,
377614,3,9.0,,
377615,3,3.0,,
377617,2,,,
377618,2,,,
377619,1,,,
377622,3,4.0,,
377623,1,,,
377624,1,,,
377625,1,,,
377628,1,,,
377629,3,6.0,,
377630,3,1.0,,
377631,1,,,
377633,3,4.0,,
377634,1,,,
377635,1,,,
377636,1,,,
377639,1,,,
377642,3,,,
377643,3,1.0,,
377646,2,,,
377647,3,1.0,,
377650,3,1.0,3.0,5.0
377652,1,,,
377653,3,4.0,,
377654,3,,,
377655,3,1.0,,
377658,3,4.0,7.0,
377663,1,,,
377667,3,3.0,,
377669,1,,,
377671,3,3.0,9.0,
377672,1,,,
377674,3,7.0,,
377676,3,,,
377682,1,,,
377683,3,2.0,,
377688,1,,,
377689,5,,,
377690,3,4.0,,
377691,3,3.0,,
377693,3,3.0,,
377697,3,1.0,,
377700,3,4.0,,
377702,3,,,
377703,3,,,
377706,3,1.0,,
377708,1,,,
377711,3,3.0,,
377712,3,,,
377717,1,,,
377718,3,,,
377720,2,,,
377724,3,,,
377726,3,1.0,,
377727,3,3.0,,
377729,3,1.0,,
377730,5,,,
377732,1,,,
377733,3,1.0,7.0,
377735,1,,,
377736,1,,,
377737,1,,,
377738,3,3.0,,
377739,1,,,
377740,1,,,
377741,2,,,
377745,1,,,
377746,1,,,
377747,3,3.0,,
377750,3,1.0,,
377752,1,,,
377753,1,,,
377754,3,1.0,,
377755,3,1.0,3.0,
377756,3,1.0,,
377758,1,,,
377759,3,3.0,9.0,
377760,3,9.0,,
377763,3,,,
377766,3,,,
377768,3,3.0,,
377769,1,,,
377773,3,3.0,,
377775,1,,,
377777,3,3.0,4.0,
377782,3,4.0,,
377783,1,,,
377784,1,,,
377785,1,,,
377786,1,,,
377788,5,,,
377791,1,,,
377792,3,1.0,4.0,
377793,3,3.0,,
377795,3,9.0,,
377796,1,,,
377797,1,,,
377798,1,,,
377799,1,,,
377800,3,,,
377802,3,,,
377803,5,,,
377804,3,,,
377807,1,,,
377808,1,,,
377810,1,,,
377812,3,6.0,7.0,
377814,3,9.0,,
377815,1,,,
377816,1,,,
377818,3,3.0,2.0,1.0
377819,3,3.0,1.0,
377821,1,,,
377824,3,9.0,,
377825,3,3.0,,
377826,1,,,
377829,3,7.0,,
377831,3,4.0,,
377832,3,3.0,,
377833,1,,,
377837,3,4.0,,
377838,1,,,
377843,3,4.0,,
377844,1,,,
377845,1,,,
377846,3,1.0,,
377850,3,1.0,7.0,
377853,1,,,
377855,3,3.0,,
377856,1,,,
377858,3,3.0,1.0,
377860,1,,,
377861,1,,,
377862,5,,,
377865,1,,,
377868,1,,,
377870,3,1.0,9.0,
377871,1,,,
377872,1,,,
377876,3,,,
377878,5,,,
377879,3,1.0,,
377882,3,1.0,,
377883,3,4.0,,
377884,3,4.0,,
377885,1,,,
377887,3,3.0,5.0,9.0
377888,1,,,
377890,1,,,
377892,1,,,
377893,3,3.0,,
377894,5,,,
377895,3,4.0,,
377897,3,4.0,,
377899,3,,,
377901,3,1.0,,
377902,5,,,
377903,3,2.0,,
377906,1,,,
377907,1,,,
377908,3,,,
377910,2,,,
377914,1,,,
377918,1,,,
377920,3,3.0,,
377922,3,4.0,9.0,
377923,3,1.0,,
377924,3,,,
377926,3,3.0,,
377927,3,6.0,,
377928,3,1.0,,
377930,1,,,
377932,3,7.0,,
377933,1,,,
377935,3,3.0,5.0,7.0
377939,1,,,
377940,1,,,
377941,3,1.0,,
377946,1,,,
377948,1,,,
377949,1,,,
377953,1,,,
377957,1,,,
377962,3,5.0,,
377963,2,,,
377964,3,1.0,,
377967,1,,,
377968,1,,,
377971,3,3.0,,
377973,3,,,
377975,3,,,
377981,3,3.0,,
377982,1,,,
377984,1,,,
377985,2,,,
377987,1,,,
377988,3,1.0,,
377989,3,9.0,4.0,
377990,3,3.0,,
377991,3,4.0,,
377992,1,,,
377994,3,1.0,,
377996,3,1.0,,
377998,3,1.0,,
378001,3,7.0,,
378005,3,1.0,,
378007,3,,,
378011,3,1.0,,
378013,2,,,
378014,1,,,
378016,1,,,
378018,3,,,
378023,3,1.0,4.0,
378024,3,6.0,,
378026,3,4.0,9.0,
378027,2,,,
378029,3,3.0,,
378030,1,,,
378031,3,,,
378035,3,9.0,,
378036,3,1.0,3.0,
378039,1,,,
378042,3,3.0,2.0,
378045,1,,,
378048,1,,,
378051,3,2.0,5.0,
378053,1,,,
378056,1,,,
378062,3,1.0,,
378064,1,,,
378066,1,,,
378067,3,3.0,,
378070,5,,,
378071,1,,,
378075,3,4.0,,
378079,3,4.0,3.0,
378081,1,,,
378082,1,,,
378083,3,9.0,,
378085,1,,,
378087,3,7.0,,
378088,3,4.0,5.0,
378091,2,,,
378095,3,7.0,,
378096,3,3.0,,
378098,5,,,
378099,1,,,
378102,3,1.0,3.0,
378104,3,7.0,,
378105,1,,,
378106,1,,,
378107,1,,,
378108,3,1.0,9.0,
